SYMBOL,CURRENCY,SECTOR,INDUSTRY
LIQUIDBEES.NS, INR, Cash, India
NIFTYBEES.NS, INR, Large Cap, Index
ADANIENT.NS,	INR,	Metals and Mining,	Large Cap
ADANIPORTS.NS,	INR,	Services,	Large Cap
APOLLOHOSP.NS,	INR,	Healthcare,	Large Cap
ASIANPAINT.NS,	INR,	Consumer Durables,	Large Cap
AXISBANK.NS,	INR,	Financial Services,	Large Cap
BAJAJ-AUTO.NS,	INR,	Automobile and Auto Components,	Large Cap
BAJFINANCE.NS,	INR,	Financial Services,	Large Cap
BAJAJFINSV.NS,	INR,	Financial Services,	Large Cap
BEL.NS,	INR,	Capital Goods,	Large Cap
BPCL.NS,	INR,	Oil Gas Consumable Fuels,	Large Cap
BHARTIARTL.NS,	INR,	Telecommunication,	Large Cap
BRITANNIA.NS,	INR,	Fast Moving Consumer Goods,	Large Cap
CIPLA.NS,	INR,	Healthcare,	Large Cap
COALINDIA.NS,	INR,	Oil Gas and Consumable Fuels,	Large Cap
DRREDDY.NS,	INR,	Healthcare,	Large Cap
EICHERMOT.NS,	INR,	Automobile and Auto Components,	Large Cap
GRASIM.NS,	INR,	Construction Materials,	Large Cap
HCLTECH.NS,	INR,	Information Technology,	Large Cap
HDFCBANK.NS,	INR,	Financial Services,	Large Cap
HDFCLIFE.NS,	INR,	Financial Services,	Large Cap
HEROMOTOCO.NS,	INR,	Automobile and Auto Components,	Large Cap
HINDALCO.NS,	INR,	Metals and Mining,	Large Cap
HINDUNILVR.NS,	INR,	Fast Moving Consumer Goods,	Large Cap
ICICIBANK.NS,	INR,	Financial Services,	Large Cap
INDUSINDBK.NS,	INR,	Financial Services,	Large Cap
INFY.NS,	INR,	Information Technology,	Large Cap
ITC.NS,	INR,	Fast Moving Consumer Goods,	Large Cap
JSWSTEEL.NS,	INR,	Metals and Mining,	Large Cap
KOTAKBANK.NS,	INR,	Financial Services,	Large Cap
LT.NS,	INR,	Construction,	Large Cap
M&M.NS,	INR,	Automobile and Auto Components,	Large Cap
MARUTI.NS,	INR,	Automobile and Auto Components,	Large Cap
NESTLEIND.NS,	INR,	Fast Moving Consumer Goods,	Large Cap
NTPC.NS,	INR,	Power,	Large Cap
ONGC.NS,	INR,	Oil Gas Consumable Fuels,	Large Cap
POWERGRID.NS,	INR,	Power,	Large Cap
RELIANCE.NS,	INR,	Oil Gas Consumable Fuels,	Large Cap
SBILIFE.NS,	INR,	Financial Services,	Large Cap
SHRIRAMFIN.NS,	INR,	Financial Services,	Large Cap
SBIN.NS,	INR,	Financial Services,	Large Cap
SUNPHARMA.NS,	INR,	Healthcare,	Large Cap
TCS.NS,	INR,	Information Technology,	Large Cap
TATACONSUM.NS,	INR,	Fast Moving Consumer Goods,	Large Cap
TATAMOTORS.NS,	INR,	Automobile and Auto Components,	Large Cap
TATASTEEL.NS,	INR,	Metals and Mining,	Large Cap
TECHM.NS,	INR,	Information Technology,	Large Cap
TITAN.NS,	INR,	Consumer Durables,	Large Cap
TRENT.NS,	INR,	Consumer Services,	Large Cap
ULTRACEMCO.NS,	INR,	Construction Materials,	Large Cap
WIPRO.NS,	INR,	Information Technology,	Large Cap
